frame.number,frame.time,frame.len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,ip.len,tcp.len,tcp.srcport,tcp.dstport,Value,normality
14.0,123722860427166.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56521.0,80.0,-99.0,0.0
15.0,123722860478698.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56127.0,80.0,-99.0,0.0
16.0,123722860634861.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,56127.0,80.0,60.0,1.0
17.0,123722860665474.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,56127.0,-99.0,0.0
18.0,123722861240051.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,56127.0,-99.0,0.0
19.0,123722929527868.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56127.0,80.0,-99.0,0.0
20.0,123722964639862.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,52061.0,80.0,-99.0,0.0
21.0,123722964702992.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,52061.0,-99.0,0.0
22.0,123722964747656.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56127.0,80.0,-99.0,0.0
23.0,123722964820900.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,56127.0,-99.0,0.0
24.0,123722973894080.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,52061.0,80.0,-99.0,0.0
25.0,123722974035777.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,52061.0,80.0,59.0,1.0
26.0,123722974083215.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,52061.0,-99.0,0.0
27.0,123722974641916.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,52061.0,-99.0,0.0
28.0,123722974723902.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56127.0,80.0,-99.0,0.0
29.0,123723075568080.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,52061.0,80.0,-99.0,0.0
30.0,123723075667925.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,52061.0,-99.0,0.0
31.0,123723076612584.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,60279.0,80.0,-99.0,0.0
32.0,123723076649240.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,60279.0,-99.0,0.0
33.0,123723082829697.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,52061.0,80.0,-99.0,0.0
34.0,123723082894569.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,60279.0,80.0,-99.0,0.0
35.0,123723084104985.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,60279.0,80.0,60.0,1.0
36.0,123723084134721.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,60279.0,-99.0,0.0
37.0,123723084768869.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,60279.0,-99.0,0.0
38.0,123723188350831.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,60279.0,80.0,-99.0,0.0
39.0,123723188442096.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,63796.0,80.0,-99.0,0.0
40.0,123723188483535.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,63796.0,-99.0,0.0
41.0,123723188494072.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,60279.0,-99.0,0.0
42.0,123723198310011.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,60279.0,80.0,-99.0,0.0
43.0,123723198372780.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63796.0,80.0,-99.0,0.0
44.0,123723198564304.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,63796.0,80.0,58.0,1.0
45.0,123723198593077.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,63796.0,-99.0,0.0
46.0,123723199143947.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,63796.0,-99.0,0.0
47.0,123723300413201.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63796.0,80.0,-99.0,0.0
48.0,123723300493181.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,49652.0,80.0,-99.0,0.0
49.0,123723300565331.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,49652.0,-99.0,0.0
50.0,123723300599211.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,63796.0,-99.0,0.0
51.0,123723308435061.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,49652.0,80.0,-99.0,0.0
52.0,123723308520615.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,49652.0,80.0,59.0,1.0
53.0,123723308554274.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,49652.0,-99.0,0.0
54.0,123723309102531.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,49652.0,-99.0,0.0
55.0,123723309571159.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63796.0,80.0,-99.0,0.0
56.0,123723412638906.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,49652.0,80.0,-99.0,0.0
57.0,123723412739025.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,49652.0,-99.0,0.0
58.0,123723415547260.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,53937.0,80.0,-99.0,0.0
59.0,123723415583571.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,53937.0,-99.0,0.0
60.0,123723420631868.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,49652.0,80.0,-99.0,0.0
61.0,123723423249225.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,53937.0,80.0,-99.0,0.0
62.0,123723423379454.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,53937.0,80.0,59.0,1.0
63.0,123723423417742.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,53937.0,-99.0,0.0
64.0,123723424021047.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,53937.0,-99.0,0.0
65.0,123723493337795.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,53937.0,80.0,-99.0,0.0
66.0,123723525233320.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,53937.0,80.0,-99.0,0.0
67.0,123723525301001.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,58223.0,80.0,-99.0,0.0
68.0,123723525336711.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,58223.0,-99.0,0.0
69.0,123723525414108.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,53937.0,-99.0,0.0
70.0,123723533366623.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,58223.0,80.0,-99.0,0.0
71.0,123723533408275.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,53937.0,80.0,-99.0,0.0
72.0,123723533611922.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,58223.0,80.0,59.0,1.0
73.0,123723533640963.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,58223.0,-99.0,0.0
74.0,123723534181870.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,58223.0,-99.0,0.0
75.0,123723632932440.0,342.0,167275820076079.0,37559677479822.0,1921680121.0,19216801.0,17.0,328.0,0.0,0.0,0.0,-99.0,0.0
76.0,123723637603786.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,50356.0,80.0,-99.0,0.0
77.0,123723637680957.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,50356.0,-99.0,0.0
78.0,123723637750697.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,58223.0,80.0,-99.0,0.0
79.0,123723637918834.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,58223.0,-99.0,0.0
80.0,123723645885382.0,378.0,37559677479822.0,167275820076079.0,19216801.0,1921680121.0,17.0,364.0,0.0,0.0,0.0,-99.0,0.0
81.0,123723648885352.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50356.0,80.0,-99.0,0.0
82.0,123723649003008.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,50356.0,80.0,59.0,1.0
83.0,123723649088740.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,50356.0,-99.0,0.0
84.0,123723649207770.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,58223.0,80.0,-99.0,0.0
85.0,123723650570757.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,50356.0,-99.0,0.0
86.0,123723868375440.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,50356.0,-99.0,0.0
87.0,123723876040753.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,50364.0,80.0,-99.0,0.0
88.0,123723876115651.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,50364.0,-99.0,0.0
89.0,123723876182710.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50356.0,80.0,-99.0,0.0
90.0,123723876386176.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,50356.0,-99.0,0.0
91.0,123723882849098.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50356.0,80.0,-99.0,0.0
92.0,123723885920564.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50364.0,80.0,-99.0,0.0
93.0,123723887080637.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,50364.0,80.0,62.0,1.0
94.0,123723887143688.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,50364.0,-99.0,0.0
95.0,123723887978493.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50356.0,80.0,-99.0,0.0
96.0,123723888379369.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,50364.0,-99.0,0.0
97.0,123723901590857.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50364.0,80.0,-99.0,0.0
98.0,123723901739459.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,50364.0,-99.0,0.0
99.0,123723902583426.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,62713.0,80.0,-99.0,0.0
100.0,123723902655207.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,62713.0,-99.0,0.0
101.0,123723908486983.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50364.0,80.0,-99.0,0.0
102.0,123723910234677.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,62713.0,80.0,-99.0,0.0
103.0,123723911202812.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,62713.0,80.0,63.0,1.0
104.0,123723911275175.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,62713.0,-99.0,0.0
105.0,123723912435418.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,62713.0,-99.0,0.0
106.0,123723995648187.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,62713.0,80.0,-99.0,0.0
107.0,123723995774620.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,57166.0,80.0,-99.0,0.0
108.0,123723995842009.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,57166.0,-99.0,0.0
109.0,123723995974843.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,62713.0,-99.0,0.0
110.0,123724002050400.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,57166.0,80.0,-99.0,0.0
111.0,123724004678970.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,62713.0,80.0,-99.0,0.0
112.0,123724004779776.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,57166.0,80.0,63.0,1.0
113.0,123724004827692.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,57166.0,-99.0,0.0
114.0,123724005951868.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,57166.0,-99.0,0.0
115.0,123724106011201.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,57166.0,80.0,-99.0,0.0
116.0,123724106238322.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,57166.0,-99.0,0.0
117.0,123724107002158.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,65144.0,80.0,-99.0,0.0
118.0,123724107072856.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,65144.0,-99.0,0.0
119.0,123724115272381.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,57166.0,80.0,-99.0,0.0
120.0,123724115382031.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,65144.0,80.0,-99.0,0.0
121.0,123724115445835.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,65144.0,80.0,59.0,1.0
122.0,123724115501214.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,65144.0,-99.0,0.0
123.0,123724116784925.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,65144.0,-99.0,0.0
124.0,123724219950795.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,65144.0,80.0,-99.0,0.0
125.0,123724220080040.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,63006.0,80.0,-99.0,0.0
126.0,123724220148435.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,63006.0,-99.0,0.0
127.0,123724220295008.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,65144.0,-99.0,0.0
128.0,123724226836674.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63006.0,80.0,-99.0,0.0
129.0,123724229766108.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,65144.0,80.0,-99.0,0.0
130.0,123724229874555.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,63006.0,80.0,63.0,1.0
131.0,123724229934500.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,63006.0,-99.0,0.0
132.0,123724231103415.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,63006.0,-99.0,0.0
133.0,123724300106394.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63006.0,80.0,-99.0,0.0
134.0,123724331222807.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63006.0,80.0,-99.0,0.0
135.0,123724331416794.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,63006.0,-99.0,0.0
136.0,123724334412213.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,56588.0,80.0,-99.0,0.0
137.0,123724334524800.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,56588.0,-99.0,0.0
138.0,123724338061498.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63006.0,80.0,-99.0,0.0
139.0,123724342034786.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56588.0,80.0,-99.0,0.0
140.0,123724342118362.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,56588.0,80.0,63.0,1.0
141.0,123724342164881.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,56588.0,-99.0,0.0
142.0,123724343264346.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,56588.0,-99.0,0.0
143.0,123724444173170.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,63984.0,80.0,-99.0,0.0
144.0,123724444268080.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,63984.0,-99.0,0.0
145.0,123724444348496.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56588.0,80.0,-99.0,0.0
146.0,123724444531744.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,56588.0,-99.0,0.0
147.0,123724454049559.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63984.0,80.0,-99.0,0.0
148.0,123724454143560.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,63984.0,80.0,62.0,1.0
149.0,123724454208449.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,63984.0,-99.0,0.0
150.0,123724454308706.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,56588.0,80.0,-99.0,0.0
151.0,123724455427761.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,63984.0,-99.0,0.0
152.0,123724556660247.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63984.0,80.0,-99.0,0.0
153.0,123724556746617.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,51211.0,80.0,-99.0,0.0
154.0,123724556813534.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,51211.0,-99.0,0.0
155.0,123724556994709.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,63984.0,-99.0,0.0
156.0,123724567378762.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,51211.0,80.0,-99.0,0.0
157.0,123724567455422.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,63984.0,80.0,-99.0,0.0
158.0,123724567539136.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,51211.0,80.0,62.0,1.0
159.0,123724567586268.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,51211.0,-99.0,0.0
160.0,123724568730451.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,51211.0,-99.0,0.0
161.0,123724669217629.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,54578.0,80.0,-99.0,0.0
162.0,123724669269323.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,54578.0,-99.0,0.0
163.0,123724669290875.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,51211.0,80.0,-99.0,0.0
164.0,123724669371225.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,51211.0,-99.0,0.0
165.0,123724679083115.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,54578.0,80.0,-99.0,0.0
166.0,123724679153573.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,54578.0,80.0,63.0,1.0
167.0,123724679180215.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,54578.0,-99.0,0.0
168.0,123724679269560.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,51211.0,80.0,-99.0,0.0
169.0,123724679809933.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,54578.0,-99.0,0.0
170.0,123724781079062.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,54578.0,80.0,-99.0,0.0
171.0,123724781174551.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,50979.0,80.0,-99.0,0.0
172.0,123724781220014.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,50979.0,-99.0,0.0
173.0,123724781305164.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,54578.0,-99.0,0.0
174.0,123724792131860.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,54578.0,80.0,-99.0,0.0
175.0,123724792203113.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50979.0,80.0,-99.0,0.0
176.0,123724792338893.0,269.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,255.0,215.0,50979.0,80.0,63.0,1.0
177.0,123724792368170.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,50979.0,-99.0,0.0
178.0,123724792925222.0,288.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,274.0,234.0,80.0,50979.0,-99.0,0.0
179.0,123724858631588.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50979.0,80.0,-99.0,0.0
180.0,123724894644912.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,50979.0,80.0,-99.0,0.0
181.0,123724894720624.0,62.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,48.0,0.0,54473.0,80.0,-99.0,0.0
182.0,123724894760884.0,62.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,48.0,0.0,80.0,54473.0,-99.0,0.0
183.0,123724894784790.0,54.0,167275820076079.0,87971959760497.0,1921680121.0,192168035.0,6.0,40.0,0.0,80.0,50979.0,-99.0,0.0
184.0,123724904816748.0,54.0,87971959760497.0,167275820076079.0,192168035.0,1921680121.0,6.0,40.0,0.0,54473.0,80.0,-99.0,0.0
